Tarea,Categoría,Prioridad,Estado,Fecha Vencimiento,Fecha Creación
Completar el proyecto de Python con tkinter - Implementar todas las funcionalidades solicitadas por el cliente,Trabajo,Alta,Pendiente,2026-04-15,2026-04-12 11:09:10
Hacer ejercicio - Rutina de entrenamiento completa,Salud,Alta,Pendiente,2026-04-11,2026-04-12 11:09:10
Revisar el presupuesto mensual y pagar facturas,Finanzas,Alta,Completada,2026-04-10,2026-04-12 11:09:10
Preparar presentación para reunión con equipo,Trabajo,Alta,Pendiente,2026-04-12,2026-04-12 11:09:10
Llamar al médico para revisión anual,Salud,Alta,Completada,2026-04-09,2026-04-12 11:09:10
Estudiar Python avanzado - Decoradores y generadores,Estudios,Media,Pendiente,,2026-04-12 11:09:10
Comprar víveres para la semana,Hogar,Media,Completada,2026-04-11,2026-04-12 11:09:10
Configurar backup automático de documentos importantes,Trabajo,Media,Pendiente,2026-04-14,2026-04-12 11:09:10
Aprender a usar Docker para desarrollo,Estudios,Media,Pendiente,2026-04-30,2026-04-12 11:09:10
Leer 'Clean Code' - Capítulos 5 al 8,Personal,Baja,Pendiente,2026-04-20,2026-04-12 11:09:10
Organizar escritorio y archivos digitales,Hogar,Baja,Pendiente,,2026-04-12 11:09:10
Planificar vacaciones de verano en cancun,Personal,Baja,Pendiente,2026-05-15,2026-04-12 11:09:10
